/media/user/data3/toky/CondaEnvs/SparseGPT/lib/python3.10/site-packages/huggingface_hub/file_download.py:945: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Reusing dataset ptb_text_only (/home/user/.cache/huggingface/datasets/ptb_text_only/penn_treebank/1.1.0/8d1b97746fb9765d140e569ec5ddd35e20af4d37761f5e1bf357ea0b081f2c1f)
Reusing dataset ptb_text_only (/home/user/.cache/huggingface/datasets/ptb_text_only/penn_treebank/1.1.0/8d1b97746fb9765d140e569ec5ddd35e20af4d37761f5e1bf357ea0b081f2c1f)
Starting ...
error 200.8643798828125
7 self_attn.k_proj
Pruning ...
time 0.16
error 51454.1328125
7 self_attn.v_proj
Pruning ...
time 0.16
error 5386.3134765625
7 self_attn.q_proj
Pruning ...
time 0.16
error 51300.484375
7 self_attn.out_proj
Pruning ...
time 0.16
error 102.79881286621094
7 fc1
Pruning ...
time 0.16
error 12238.001953125
7 fc2
Pruning ...
time 0.64
error 258.1051025390625
8 self_attn.k_proj
Pruning ...
time 0.16
error 51796.3671875
8 self_attn.v_proj
Pruning ...
time 0.16
error 7643.6435546875
8 self_attn.q_proj
Pruning ...
time 0.16
error 56283.3515625
8 self_attn.out_proj
Pruning ...
time 0.16
error 168.421142578125
8 fc1
Pruning ...
time 0.16
error 16542.0234375
8 fc2
Pruning ...
time 0.77
error 418.7249755859375
9 self_attn.k_proj
Pruning ...
time 0.98
error 59483.39453125
9 self_attn.v_proj
Pruning ...
time 0.16
error 8924.9296875
9 self_attn.q_proj
Pruning ...
time 0.16
error 62559.0
9 self_attn.out_proj
Pruning ...
time 0.16
error 297.3120422363281
9 fc1
Pruning ...
time 0.16
error 22294.921875
9 fc2
Pruning ...
time 0.64
error 592.4661254882812
10 self_attn.k_proj
Pruning ...
time 0.16
error 57465.8984375
10 self_attn.v_proj
Pruning ...
time 0.16
error 10940.1484375
10 self_attn.q_proj
Pruning ...
time 0.30
error 55553.24609375
10 self_attn.out_proj
Pruning ...
time 0.85
error 334.7470703125
10 fc1
Pruning ...
time 0.60
error 27901.876953125
10 fc2
Pruning ...
time 0.64
error 931.31884765625
11 self_attn.k_proj
Pruning ...
time 0.16
error 54435.74609375
11 self_attn.v_proj
Pruning ...
time 0.16
error 13633.1640625
11 self_attn.q_proj
Pruning ...
time 0.16
error 56134.84765625
11 self_attn.out_proj
Pruning ...
time 0.16
error 544.126953125
11 fc1
Pruning ...
time 0.16
error 32136.384765625
11 fc2
Pruning ...
time 0.79
error 1161.567626953125
model.decoder.embed_tokens.weight tensor(3.8851e-07)
model.decoder.embed_positions.weight tensor(0.0005)
model.decoder.final_layer_norm.weight tensor(0.)
model.decoder.final_layer_norm.bias tensor(0.)
model.decoder.layers.0.self_attn.k_proj.weight tensor(0.5027)
model.decoder.layers.0.self_attn.k_proj.bias tensor(0.)
model.decoder.layers.0.self_attn.v_proj.weight tensor(0.5018)
model.decoder.layers.0.self_attn.v_proj.bias tensor(0.)
model.decoder.layers.0.self_attn.q_proj.weight tensor(0.5017)
model.decoder.layers.0.self_attn.q_proj.bias tensor(0.)
model.decoder.layers.0.self_attn.out_proj.weight tensor(0.5083)
model.decoder.layers.0.self_attn.out_proj.bias tensor(0.)
model.decoder.layers.0.self_attn_layer_norm.weight tensor(0.)
model.decoder.layers.0.self_attn_layer_norm.bias tensor(0.)
model.decoder.layers.0.fc1.weight tensor(0.5010)
model.decoder.layers.0.fc1.bias tensor(0.)
model.decoder.layers.0.fc2.weight tensor(0.5084)
92.06466603279114
wikitext2
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
Perplexity: 38.857777
ptb
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
Perplexity: 61.126709
c4
Evaluating ...
0
1
2
3
4
5
6
7
8
9
10
11
Perplexity: 37.232136
